Overall (21/02/2021)  67619/70569  (Translation 98%)
  3006:               320/320      (Translation 100%)(Retranslated)
  3007:               67/67        (Translation 100%)(Retranslated)
  3008:               120/120      (Translation 100%)(Retranslated)
  3009:               898/898      (Translation 100%)(Retranslated)
  3010:               323/323      (Translation 100%)(Retranslated)
  3011:               274/274      (Translation 100%)(Retranslated)
  3012:               657/657      (Translation 100%)(Retranslated)
  3013:               1265/1265    (Translation 100%)(Retranslated)
  3014:               548/548      (Translation 100%)(Retranslated)
  3014_2:             16/16        (Translation 100%)(Retranslated)
  3014_3:             57/57        (Translation 100%)(Retranslated)
  3015:               198/198      (Translation 100%)(Retranslated)
  3015_2:             0/505        (Translation 0%)  (H-scene)
  3016:               686/686      (Translation 100%)(Retranslated)
  3017:               386/386      (Translation 100%)(Retranslated)
  3018:               470/470      (Translation 100%)(Retranslated)
  3019:               300/300      (Translation 100%)(Retranslated)
  3020:               238/238      (Translation 100%)(Retranslated)
  3021:               217/217      (Translation 100%)(Retranslated)
  3022:               459/459      (Translation 100%)(Retranslated)
  3023:               363/363      (Translation 100%)(Retranslated)
  3024:               78/78        (Translation 100%)

Coda Kazusa True      4245/4245    (Translation 100%)(TLC 100%)


  3101:               187/187      (Translation 100%)(TLCd)
  3102:               366/366      (Translation 100%)(TLCd)
  3103:               532/532      (Translation 100%)(TLCd)
  3104:               125/125      (Translation 100%)(TLCd)
  3105:               276/276      (Translation 100%)(TLCd)
  3106:               398/398      (Translation 100%)(TLCd)
  3107:               611/611      (Translation 100%)(TLCd)
  3108:               626/626      (Translation 100%)(TLCd)
  3109:               677/677      (Translation 100%)(TLCd)
  3110:               195/195      (Translation 100%)(TLCd)
  3111:               252/252      (Translation 100%)(TLCd)


Coda Setsuna True     3681/3954    (Translation 93%)  TLC (93%)

H-scene not yet translated

  3201:               268/268      (Translation 100%)(TLCd)
  3202:               133/133      (Translation 100%)(TLCd)
  3203:               294/294      (Translation 100%)(TLCd)
  3204:               181/181      (Translation 100%)(TLCd)
  3205:               149/149      (Translation 100%)(TLCd)
  3206:               182/182      (Translation 100%)(TLCd)
  3207:               259/259      (Translation 100%)(TLCd)
  3208:               238/238      (Translation 100%)(TLCd)
  3209:               736/736      (Translation 100%)(TLCd)
  3210:               1064/1064    (Translation 100%)(TLCd)
  3210_2:             0/335        (Translation 0%)  (H-scene)
  3211:               177/117      (Translation 100%)(TLCd)


Coda Kazusa Normal    4615/5511    (Translation 84%)

Most H-scenes not yet translated

  3901:               320/320        (Translation 100%)(H-scene)(TLCd)
  3901_2:             320/320        (Translation 100%)(H-scene)(TLCd)
  3902:               498/498        (Translation 100%)         (TLCd)
